Facility Name,Facility ID,State,Measure Name,Number of Discharges,Excess Readmission Ratio,Predicted Readmission Rate,Expected Readmission Rate,Number of Readmissions,Start Date,End Date
SOUTHEAST HEALTH MEDICAL CENTER,10001,AL,READM-30-HF-HRRP,616,1.1003,23.1263,21.0184,149,01-07-2019,30-06-2022
SOUTHEAST HEALTH MEDICAL CENTER,10001,AL,READM-30-AMI-HRRP,274,0.9332,12.9044,13.8283,32,01-07-2019,30-06-2022
SOUTHEAST HEALTH MEDICAL CENTER,10001,AL,READM-30-PN-HRRP,404,0.9871,17.0529,17.2762,68,01-07-2019,30-06-2022
SOUTHEAST HEALTH MEDICAL CENTER,10001,AL,READM-30-CABG-HRRP,126,0.9517,9.8131,10.3112,11,01-07-2019,30-06-2022
SOUTHEAST HEALTH MEDICAL CENTER,10001,AL,READM-30-COPD-HRRP,117,0.9803,18.1837,18.5483,20,01-07-2019,30-06-2022
MARSHALL MEDICAL CENTERS,10005,AL,READM-30-COPD-HRRP,137,0.8784,16.2476,18.4967,14,01-07-2019,30-06-2022
MARSHALL MEDICAL CENTERS,10005,AL,READM-30-PN-HRRP,285,0.9497,15.2494,16.0567,40,01-07-2019,30-06-2022
MARSHALL MEDICAL CENTERS,10005,AL,READM-30-HF-HRRP,129,0.9885,19.1975,19.4209,24,01-07-2019,30-06-2022
NORTH ALABAMA MEDICAL CENTER,10006,AL,READM-30-HIP-KNEE-HRRP,158,0.9165,16.8035,18.3353,21,01-07-2019,30-06-2022
NORTH ALABAMA MEDICAL CENTER,10006,AL,READM-30-COPD-HRRP,89,1.133,12.8249,11.3197,15,01-07-2019,30-06-2022
NORTH ALABAMA MEDICAL CENTER,10006,AL,READM-30-CABG-HRRP,441,0.9629,19.3905,20.138,83,01-07-2019,30-06-2022
NORTH ALABAMA MEDICAL CENTER,10006,AL,READM-30-HF-HRRP,273,1.0472,12.3815,11.8232,36,01-07-2019,30-06-2022
NORTH ALABAMA MEDICAL CENTER,10006,AL,READM-30-AMI-HRRP,472,0.9731,16.2835,16.734,75,01-07-2019,30-06-2022
MIZELL MEMORIAL HOSPITAL,10007,AL,READM-30-AMI-HRRP,127,0.9969,11.9288,11.9664,15,01-07-2019,30-06-2022
CRENSHAW COMMUNITY HOSPITAL,10008,AL,READM-30-COPD-HRRP,309,1.05,17.6813,16.8389,58,01-07-2019,30-06-2022
CRENSHAW COMMUNITY HOSPITAL,10008,AL,READM-30-HIP-KNEE-HRRP,64,1.153,12.495,10.8369,12,01-07-2019,30-06-2022
CRENSHAW COMMUNITY HOSPITAL,10008,AL,READM-30-HF-HRRP,251,0.9971,19.9965,20.0544,50,01-07-2019,30-06-2022
CRENSHAW COMMUNITY HOSPITAL,10008,AL,READM-30-CABG-HRRP,82,0.9856,18.2175,18.4834,14,01-07-2019,30-06-2022
CRENSHAW COMMUNITY HOSPITAL,10008,AL,READM-30-PN-HRRP,151,0.9781,14.2085,14.526,20,01-07-2019,30-06-2022
ST. VINCENT'S EAST,10011,AL,READM-30-HIP-KNEE-HRRP,168,1.0081,17.5256,17.3839,30,01-07-2019,30-06-2022
ST. VINCENT'S EAST,10011,AL,READM-30-HF-HRRP,72,1.038,14.1322,13.6152,12,01-07-2019,30-06-2022
DEKALB REGIONAL MEDICAL CENTER,10012,AL,READM-30-COPD-HRRP,186,0.9745,20.2796,20.81,36,01-07-2019,30-06-2022
DEKALB REGIONAL MEDICAL CENTER,10012,AL,READM-30-CABG-HRRP,208,0.9366,17.922,19.1344,33,01-07-2019,30-06-2022
DEKALB REGIONAL MEDICAL CENTER,10012,AL,READM-30-PN-HRRP,160,0.9307,16.5761,17.81,22,01-07-2019,30-06-2022
DEKALB REGIONAL MEDICAL CENTER,10012,AL,READM-30-HIP-KNEE-HRRP,208,0.9978,15.456,15.4901,32,01-07-2019,30-06-2022
SHELBY BAPTIST MEDICAL CENTER,10016,AL,READM-30-CABG-HRRP,47,1.0552,15.7025,14.8809,11,01-07-2019,30-06-2022
SHELBY BAPTIST MEDICAL CENTER,10016,AL,READM-30-AMI-HRRP,68,0.9977,19.3437,19.389,13,01-07-2019,30-06-2022
CALLAHAN EYE HOSPITAL,10018,AL,READM-30-PN-HRRP,284,0.9412,19.3729,20.5838,51,01-07-2019,30-06-2022
CALLAHAN EYE HOSPITAL,10018,AL,READM-30-HIP-KNEE-HRRP,190,1.0287,15.0433,14.6243,30,01-07-2019,30-06-2022
CALLAHAN EYE HOSPITAL,10018,AL,READM-30-HF-HRRP,117,0.9747,17.7691,18.2305,19,01-07-2019,30-06-2022
CALLAHAN EYE HOSPITAL,10018,AL,READM-30-COPD-HRRP,195,1.0147,17.4308,17.1779,35,01-07-2019,30-06-2022
CALLAHAN EYE HOSPITAL,10018,AL,READM-30-CABG-HRRP,256,0.9629,18.9363,19.6649,46,01-07-2019,30-06-2022
HELEN KELLER HOSPITAL,10019,AL,READM-30-HIP-KNEE-HRRP,117,1.0898,15.9752,14.6583,23,01-07-2019,30-06-2022
HELEN KELLER HOSPITAL,10019,AL,READM-30-HF-HRRP,72,1.0008,17.9843,17.9699,13,01-07-2019,30-06-2022
HELEN KELLER HOSPITAL,10019,AL,READM-30-AMI-HRRP,88,1.0167,11.9626,11.7663,11,01-07-2019,30-06-2022
HELEN KELLER HOSPITAL,10019,AL,READM-30-CABG-HRRP,88,0.961,16.7335,17.413,12,01-07-2019,30-06-2022
HELEN KELLER HOSPITAL,10019,AL,READM-30-COPD-HRRP,175,1.1095,21.2027,19.11,44,01-07-2019,30-06-2022
HELEN KELLER HOSPITAL,10019,AL,READM-30-PN-HRRP,72,1.0344,20.507,19.825,17,01-07-2019,30-06-2022
DALE MEDICAL CENTER,10021,AL,READM-30-AMI-HRRP,321,1.0892,18.0978,16.6152,64,01-07-2019,30-06-2022
DALE MEDICAL CENTER,10021,AL,READM-30-HF-HRRP,134,1.0125,21.0181,20.7589,29,01-07-2019,30-06-2022
DALE MEDICAL CENTER,10021,AL,READM-30-PN-HRRP,281,1.0353,12.1039,11.6912,35,01-07-2019,30-06-2022
CHEROKEE MEDICAL CENTER,10022,AL,READM-30-HF-HRRP,251,1.0693,16.1899,15.1403,44,01-07-2019,30-06-2022
CHEROKEE MEDICAL CENTER,10022,AL,READM-30-PN-HRRP,595,0.8908,18.255,20.4934,101,01-07-2019,30-06-2022
CHEROKEE MEDICAL CENTER,10022,AL,READM-30-HIP-KNEE-HRRP,328,1.0905,20.8074,19.0802,74,01-07-2019,30-06-2022
BAPTIST MEDICAL CENTER SOUTH,10023,AL,READM-30-CABG-HRRP,315,1.0232,16.018,15.6549,52,01-07-2019,30-06-2022
BAPTIST MEDICAL CENTER SOUTH,10023,AL,READM-30-COPD-HRRP,113,1.0903,20.6265,18.9178,29,01-07-2019,30-06-2022
BAPTIST MEDICAL CENTER SOUTH,10023,AL,READM-30-HIP-KNEE-HRRP,121,1.0269,17.5026,17.0433,23,01-07-2019,30-06-2022
BAPTIST MEDICAL CENTER SOUTH,10023,AL,READM-30-PN-HRRP,154,1.0418,22.2181,21.3276,37,01-07-2019,30-06-2022
JACKSON HOSPITAL & CLINIC INC,10024,AL,READM-30-HIP-KNEE-HRRP,243,0.8286,8.2787,9.9909,15,01-07-2019,30-06-2022
JACKSON HOSPITAL & CLINIC INC,10024,AL,READM-30-HF-HRRP,334,1.2916,5.698,4.4117,23,01-07-2019,30-06-2022
JACKSON HOSPITAL & CLINIC INC,10024,AL,READM-30-AMI-HRRP,613,0.8867,10.7176,12.0875,60,01-07-2019,30-06-2022
JACKSON HOSPITAL & CLINIC INC,10024,AL,READM-30-COPD-HRRP,396,0.9641,17,17.6328,65,01-07-2019,30-06-2022
JACKSON HOSPITAL & CLINIC INC,10024,AL,READM-30-CABG-HRRP,1085,0.9794,15.7055,16.0354,169,01-07-2019,30-06-2022
THE EAST ALABAMA HEALTHCARE AUTHORITY,10029,AL,READM-30-PN-HRRP,1086,1.0105,20.1021,19.8942,219,01-07-2019,30-06-2022
THE EAST ALABAMA HEALTHCARE AUTHORITY,10029,AL,READM-30-HF-HRRP,225,0.9275,16.9822,18.31,33,01-07-2019,30-06-2022
THE EAST ALABAMA HEALTHCARE AUTHORITY,10029,AL,READM-30-COPD-HRRP,151,0.9927,14.1466,14.2505,21,01-07-2019,30-06-2022
